date,lat[unit="degrees_north"],lon[unit="degrees_east"],salt[unit=""],temp[unit="Celsius"]
2016-01-01T00:00:00Z,40.2,1.8,38.121097564697266,16.570640563964844
2016-01-01T03:00:00Z,40.2,1.8,38.11534118652344,16.541183471679688
2016-01-01T06:00:00Z,40.2,1.8,38.11075210571289,16.501956939697266
2016-01-01T09:00:00Z,40.2,1.8,38.11074447631836,16.470840454101562
2016-01-01T12:00:00Z,40.2,1.8,38.11735153198242,16.49146842956543
2016-01-01T15:00:00Z,40.2,1.8,38.12303924560547,16.510833740234375
2016-01-01T18:00:00Z,40.2,1.8,38.12285232543945,16.475526809692383
2016-01-01T21:00:00Z,40.2,1.8,38.124000549316406,16.459985733032227
2016-01-02T00:00:00Z,40.2,1.8,38.127418518066406,16.45940589904785
2016-01-02T03:00:00Z,40.2,1.8,38.1292610168457,16.44373893737793
2016-01-02T06:00:00Z,40.2,1.8,38.130645751953125,16.429004669189453
2016-01-02T09:00:00Z,40.2,1.8,38.13218307495117,16.409099578857422
2016-01-02T12:00:00Z,40.2,1.8,38.13307571411133,16.422569274902344
2016-01-02T15:00:00Z,40.2,1.8,38.13247299194336,16.445016860961914
2016-01-02T18:00:00Z,40.2,1.8,38.12989807128906,16.4346866607666
2016-01-02T21:00:00Z,40.2,1.8,38.1294059753418,16.40201759338379
2016-01-03T00:00:00Z,40.2,1.8,38.130462646484375,16.376502990722656
2016-01-03T03:00:00Z,40.2,1.8,38.12840270996094,16.36426544189453
2016-01-03T06:00:00Z,40.2,1.8,38.12556838989258,16.33893394470215
2016-01-03T09:00:00Z,40.2,1.8,38.12413024902344,16.32381248474121
2016-01-03T12:00:00Z,40.2,1.8,38.12773895263672,16.33863639831543
2016-01-03T15:00:00Z,40.2,1.8,38.132205963134766,16.342313766479492
2016-01-03T18:00:00Z,40.2,1.8,38.13199996948242,16.326635360717773
2016-01-03T21:00:00Z,40.2,1.8,38.12630081176758,16.326637268066406
2016-01-04T00:00:00Z,40.2,1.8,38.12139129638672,16.322589874267578
2016-01-04T03:00:00Z,40.2,1.8,38.11946487426758,16.31145477294922
2016-01-04T06:00:00Z,40.2,1.8,38.115966796875,16.300601959228516
2016-01-04T09:00:00Z,40.2,1.8,38.11351776123047,16.264169692993164
2016-01-04T12:00:00Z,40.2,1.8,38.111854553222656,16.218856811523438
2016-01-04T15:00:00Z,40.2,1.8,38.10823059082031,16.229808807373047
2016-01-04T18:00:00Z,40.2,1.8,38.111351013183594,16.22272491455078
2016-01-04T21:00:00Z,40.2,1.8,38.116065979003906,16.228612899780273
2016-01-05T00:00:00Z,40.2,1.8,38.07254409790039,15.97744369506836
2016-01-05T03:00:00Z,40.2,1.8,38.105690002441406,15.87143325805664
2016-01-05T06:00:00Z,40.2,1.8,38.123355865478516,15.793302536010742
2016-01-05T09:00:00Z,40.2,1.8,38.118282318115234,15.798762321472168
2016-01-05T12:00:00Z,40.2,1.8,38.10178756713867,15.862764358520508
2016-01-05T15:00:00Z,40.2,1.8,38.089599609375,15.889486312866211
2016-01-05T18:00:00Z,40.2,1.8,38.0860481262207,15.853222846984863
2016-01-05T21:00:00Z,40.2,1.8,38.093257904052734,15.796943664550781
2016-01-06T00:00:00Z,40.2,1.8,38.112056732177734,15.742929458618164
2016-01-06T03:00:00Z,40.2,1.8,38.12100601196289,15.70507526397705
2016-01-06T06:00:00Z,40.2,1.8,38.1174201965332,15.68366527557373
2016-01-06T09:00:00Z,40.2,1.8,38.115962982177734,15.66386890411377
2016-01-06T12:00:00Z,40.2,1.8,38.11577606201172,15.657174110412598
2016-01-06T15:00:00Z,40.2,1.8,38.116676330566406,15.645023345947266
2016-01-06T18:00:00Z,40.2,1.8,38.11973190307617,15.61369800567627
2016-01-06T21:00:00Z,40.2,1.8,38.12200927734375,15.59086799621582
2016-01-07T00:00:00Z,40.2,1.8,38.12484359741211,15.57001781463623
2016-01-07T03:00:00Z,40.2,1.8,38.1284294128418,15.560900688171387
2016-01-07T06:00:00Z,40.2,1.8,38.128639221191406,15.554052352905273
2016-01-07T09:00:00Z,40.2,1.8,38.130836486816406,15.54870891571045
2016-01-07T12:00:00Z,40.2,1.8,38.13382339477539,15.562247276306152
2016-01-07T15:00:00Z,40.2,1.8,38.13391876220703,15.571696281433105
2016-01-07T18:00:00Z,40.2,1.8,38.134029388427734,15.566370010375977
2016-01-07T21:00:00Z,40.2,1.8,38.13465118408203,15.568805694580078
2016-01-08T00:00:00Z,40.2,1.8,38.13426208496094,15.567014694213867
2016-01-08T03:00:00Z,40.2,1.8,38.135196685791016,15.557504653930664
2016-01-08T06:00:00Z,40.2,1.8,38.13691711425781,15.547137260437012
2016-01-08T09:00:00Z,40.2,1.8,38.137020111083984,15.555018424987793
2016-01-08T12:00:00Z,40.2,1.8,38.13631820678711,15.592782020568848
2016-01-08T15:00:00Z,40.2,1.8,38.134605407714844,15.604071617126465
2016-01-08T18:00:00Z,40.2,1.8,38.134090423583984,15.582962989807129
2016-01-08T21:00:00Z,40.2,1.8,38.13683319091797,15.560604095458984
2016-01-09T00:00:00Z,40.2,1.8,38.13911819458008,15.54277515411377
2016-01-09T03:00:00Z,40.2,1.8,38.14031982421875,15.531228065490723
2016-01-09T06:00:00Z,40.2,1.8,38.14161682128906,15.528848648071289
2016-01-09T09:00:00Z,40.2,1.8,38.1441535949707,15.536410331726074
